Test Case,Request Number,Response Time (ms)
Case 1,1,96.1000919342041
Case 1,2,51.81288719177246
Case 1,3,53.8020133972168
Case 1,4,57.74688720703125
Case 1,5,58.65907669067383
Case 1,6,55.281877517700195
Case 1,7,55.583953857421875
Case 1,8,57.273149490356445
Case 1,9,56.91790580749512
Case 1,10,57.69491195678711
Case 1,11,56.1678409576416
Case 1,12,55.22418022155762
Case 1,13,56.85901641845703
Case 1,14,57.40714073181152
Case 1,15,55.890798568725586
Case 1,16,53.0548095703125
Case 1,17,55.661678314208984
Case 1,18,55.043697357177734
Case 1,19,56.19692802429199
Case 1,20,58.50386619567871
Case 1,21,58.20798873901367
Case 1,22,58.732032775878906
Case 1,23,52.69789695739746
Case 1,24,51.093101501464844
Case 1,25,54.89206314086914
Case 1,26,54.56709861755371
Case 1,27,64.39495086669922
Case 1,28,127.64716148376465
Case 1,29,79.02216911315918
Case 1,30,65.20700454711914
Case 1,31,68.05992126464844
Case 1,32,57.07907676696777
Case 1,33,56.49614334106445
Case 1,34,58.338165283203125
Case 1,35,59.040069580078125
Case 1,36,62.8049373626709
Case 1,37,60.089111328125
Case 1,38,58.381080627441406
Case 1,39,60.29796600341797
Case 1,40,58.30693244934082
Case 1,41,58.3798885345459
Case 1,42,56.49828910827637
Case 1,43,59.9522590637207
Case 1,44,55.06587028503418
Case 1,45,57.51681327819824
Case 1,46,56.345224380493164
Case 1,47,56.77080154418945
Case 1,48,59.20004844665527
Case 1,49,62.17694282531738
Case 1,50,55.94992637634277
Case 1,51,57.077884674072266
Case 1,52,63.81511688232422
Case 1,53,55.609703063964844
Case 1,54,58.13288688659668
Case 1,55,65.11187553405762
Case 1,56,54.155826568603516
Case 1,57,62.75010108947754
Case 1,58,59.861183166503906
Case 1,59,51.78999900817871
Case 1,60,52.66618728637695
Case 1,61,55.79781532287598
Case 1,62,56.32209777832031
Case 1,63,60.43386459350586
Case 1,64,75.37007331848145
Case 1,65,61.34200096130371
Case 1,66,54.1079044342041
Case 1,67,53.71809005737305
Case 1,68,55.59897422790527
Case 1,69,53.68304252624512
Case 1,70,61.59377098083496
Case 1,71,60.4548454284668
Case 1,72,58.161020278930664
Case 1,73,52.44803428649902
Case 1,74,54.19206619262695
Case 1,75,54.44693565368652
Case 1,76,53.46107482910156
Case 1,77,53.46369743347168
Case 1,78,53.032875061035156
Case 1,79,56.91719055175781
Case 1,80,58.418989181518555
Case 1,81,60.49489974975586
Case 1,82,58.87794494628906
Case 1,83,60.88089942932129
Case 1,84,58.10904502868652
Case 1,85,57.652950286865234
Case 1,86,55.59492111206055
Case 1,87,61.33389472961426
Case 1,88,57.862043380737305
Case 1,89,66.82801246643066
Case 1,90,57.00206756591797
Case 1,91,65.99903106689453
Case 1,92,55.61709403991699
Case 1,93,60.58216094970703
Case 1,94,57.72900581359863
Case 1,95,58.17699432373047
Case 1,96,55.71913719177246
Case 1,97,56.13088607788086
Case 1,98,54.44502830505371
Case 1,99,60.810089111328125
Case 1,100,53.67302894592285
Case 2,1,60.20712852478027
Case 2,2,54.98218536376953
Case 2,3,53.14779281616211
Case 2,4,54.123878479003906
Case 2,5,54.4130802154541
Case 2,6,52.34098434448242
Case 2,7,54.615020751953125
Case 2,8,60.66393852233887
Case 2,9,55.23800849914551
Case 2,10,53.7872314453125
Case 2,11,58.461904525756836
Case 2,12,52.702903747558594
Case 2,13,59.0207576751709
Case 2,14,61.231136322021484
Case 2,15,60.18972396850586
